,eng,aii
,"The merchants of the earth weep and mourn over her, for no one buys their merchandise any more;",ܘܬܓܪܐ ܕܐܪܥܐ ܢܒܟܘܢ ܘܢܬܐܒܠܘܢ ܥܠܝܗ ܘܡܘܒܠܗܘܢ ܠܝܬ ܕܙܒܢ ܬܘܒ
,"merchandise of gold, silver, precious stones, pearls, fine linen, purple, silk, scarlet, all expensive wood, every vessel of ivory, every vessel made of most precious wood, and of brass, and iron, and marble;",ܡܘܒܠܐ ܕܕܗܒܐ ܘܕܤܐܡܐ ܘܕܟܐܦܐ ܝܩܝܪܬܐ ܘܕܡܪܓܢܝܬܐ ܘܕܒܘܨܐ ܘܕܐܪܓܘܢܐ ܘܫܐܪܝܐ ܕܙܚܘܪܝܬܐ ܘܟܠ ܩܝܤ ܕܒܤܡܐ ܘܟܠ ܡܐܢ ܕܫܢܐ ܘܟܠ ܡܐܢ ܕܩܝܤܐ ܝܩܝܪܐ ܘܢܚܫܐ ܘܦܪܙܠܐ ܘܫܝܫܐ
,"and cinnamon, incense, perfume, frankincense, wine, olive oil, fine flour, wheat, sheep, horses, chariots, and people's bodies and souls.",ܘܩܘܢܝܡܘܢ ܘܒܤܡܐ ܘܡܘܪܘܢ ܘܠܒܘܢܬܐ ܘܚܡܪܐ ܘܡܫܚܐ ܘܤܡܝܕܐ ܘܥܪܒܐ ܘܪܟܫܐ ܘܡܪܟܒܬܐ ܘܦܓܪܐ ܘܢܦܫܬܐ ܕܒܢܝܢܫܐ
,"The fruits which your soul lusted after have been lost to you, and all things that were dainty and sumptuous have perished from you, and you will find them no more at all.",ܘܐܒܟܝ ܪܓܬܐ ܕܢܦܫܟܝ ܐܙܠ ܡܢܟܝ ܘܟܠ ܕܫܡܝܢ ܘܫܒܝܚ ܐܙܠ ܡܢܟܝ ܘܠܐ ܬܘܒ ܬܚܙܝܢ ܐܢܘܢ
,"The merchants of these things, who were made rich by her, will stand far away for the fear of her torment, weeping and mourning;",ܘܠܐ ܢܫܟܚܘܢ ܐܢܘܢ ܬܓܪܐ ܕܗܠܝܢ ܕܥܬܪܘ ܡܢܗ ܡܢ ܩܒܘܠ ܢܩܘܡܘܢ ܡܢ ܕܚܠܬܐ ܕܫܘܢܩܗ ܟܕ ܒܟܝܢ ܘܐܒܝܠܝܢ
,"saying, 'Woe, woe, the great city, she who was dressed in fine linen, purple, and scarlet, and decked with gold and precious stones and pearls!",ܘܐܡܪܝܢ ܘܝ ܘܝ ܡܕܝܢܬܐ ܪܒܬܐ ܕܡܥܛܦܐ ܒܘܨܐ ܘܐܪܓܘܢܐ ܘܙܚܘܪܝܬܐ ܕܡܕܗܒܢ ܒܕܗܒܐ ܘܟܐܦܐ ܝܩܝܪܬܐ ܘܡܪܓܢܝܬܐ
,"For in an hour such great riches are made desolate.' Every shipmaster, and everyone who sails anywhere, and mariners, and as many as gain their living by sea, stood far away,",ܡܛܠ ܕܒܚܕܐ ܫܥܐ ܐܤܬܪܩ ܥܘܬܪܐ ܕܐܝܟ ܗܢܐ ܘܟܠ ܡܕܒܪܝ ܐܠܦܐ ܘܟܠ ܐܙܠܝ ܒܐܠܦܐ ܠܕܘܟܝܬܐ ܘܐܠܦܪܐ ܘܟܠ ܕܒܝܡܐ ܦܠܚܝܢ ܡܢ ܪܘܚܩܐ ܩܡܘ
,"and cried out as they looked at the smoke of her burning, saying, 'What is like the great city?'",ܘܒܟܐܘܗ ܟܕ ܚܙܝܢ ܬܢܢܐ ܕܝܩܕܢܗ ܘܐܡܪܝܢ ܡܢ ܗܝ ܕܕܡܝܐ ܠܡܕܝܢܬܐ ܪܒܬܐ
,"They cast dust on their heads, and cried, weeping and mourning, saying, 'Woe, woe, the great city, in which all who had their ships in the sea were made rich by reason of her great wealth!' For in one hour is she made desolate.",ܘܐܪܡܝܘ ܥܦܪܐ ܥܠ ܪܝܫܝܗܘܢ ܘܩܥܘ ܟܕ ܒܟܝܢ ܘܐܒܝܠܝܢ ܘܐܡܪܝܢ ܘܝ ܘܝ ܡܕܝܢܬܐ ܪܒܬܐ ܐܝܕܐ ܕܒܗ ܥܬܪܘ ܐܝܠܝܢ ܕܐܝܬ ܠܗܘܢ ܐܠܦܐ ܒܝܡܐ ܡܢ ܐܝܩܪܗ ܕܒܚܕܐ ܫܥܐ ܚܪܒܬ
,"""Rejoice over her, O heaven, you saints, apostles, and prophets; for God has judged your judgment on her.""",ܐܬܦܨܚܘ ܥܠܝܗ ܫܡܝܐ ܘܩܕܝܫܐ ܘܫܠܝܚܐ ܘܢܒܝܐ ܡܛܠ ܕܕܢ ܐܠܗܐ ܕܝܢܟܘܢ ܡܢܗ
,"A mighty angel took up a stone like a great millstone and cast it into the sea, saying, ""Thus with violence will Babylon, the great city, be thrown down, and will be found no more at all.",ܘܫܩܠ ܚܕ ܡܢ ܡܠܐܟܐ ܚܝܠܬܢܐ ܟܐܦܐ ܪܒܬܐ ܐܝܟ ܪܚܝܐ ܘܐܪܡܝ ܒܝܡܐ ܘܐܡܪ ܗܟܢܐ ܒܚܐܦܐ ܬܫܬܕܐ ܒܒܝܠ ܡܕܝܢܬܐ ܪܒܬܐ ܘܠܐ ܬܫܟܚ ܬܘܒ
,The light of a lamp will shine no more at all in you. The voice of the bridegroom and of the bride will be heard no more at all in you; for your merchants were the princes of the earth; for with your sorcery all the nations were deceived.,ܘܢܘܗܪܐ ܕܫܪܓܐ ܠܐ ܢܬܚܙܐ ܠܟܝ ܬܘܒ ܘܩܠܐ ܕܚܬܢܐ ܘܩܠܐ ܕܟܠܬܐ ܠܐ ܢܫܬܡܥ ܒܟܝ ܬܘܒ ܡܛܠ ܕܬܓܪܝܟܝ ܐܝܬ ܗܘܘ ܪܘܪܒܢܝܗ ܕܐܪܥܐ ܡܛܠ ܕܒܚܪܫܝܟܝ ܐܛܥܝܬܝ ܠܟܠܗܘܢ ܥܡܡܐ
,"In her was found the blood of prophets and of saints, and of all who have been slain on the earth.""",ܘܒܗ ܐܫܬܟܚ ܕܡܐ ܕܢܒܝܐ ܘܩܕܝܫܐ ܕܩܛܝܠܝܢ ܥܠ ܐܪܥܐ
,"After these things I heard something like a loud voice of a great multitude in heaven, saying, ""Hallelujah! Salvation, power, and glory belong to our God:",ܘܡܢ ܒܬܪ ܗܠܝܢ ܫܡܥܬ ܩܠܐ ܪܒܐ ܕܟܢܫܐ ܤܓܝܐܐ ܒܫܡܝܐ ܕܐܡܪܝܢ ܗܠܠܘܝܐ ܦܘܪܩܢܐ ܘܬܫܒܘܚܬܐ ܘܚܝܠܐ ܠܐܠܗܢ
,"for true and righteous are his judgments. For he has judged the great prostitute, who corrupted the earth with her sexual immorality, and he has avenged the blood of his servants at her hand.""",ܡܛܠ ܕܫܪܝܪܝܢ ܘܟܐܢܝܢ ܕܝܢܘܗܝ ܡܛܠ ܕܕܢ ܠܙܢܝܬܐ ܪܒܬܐ ܐܝܕܐ ܕܚܒܠܬ ܠܐܪܥܐ ܒܙܢܝܘܬܗ ܘܬܒܥ ܕܡܐ ܕܥܒܕܘܗܝ ܡܢ ܐܝܕܝܗ
,"A second said, ""Hallelujah! Her smoke goes up forever and ever.""",ܕܬܪܬܝܢ ܐܡܪܘ ܗܠܠܘܝܐ ܘܬܢܢܗ ܤܠܩ ܠܥܠܡ ܥܠܡܝܢ
,"The twenty-four elders and the four living creatures fell down and worshiped God who sits on the throne, saying, ""Amen! Hallelujah!""",ܘܢܦܠܘ ܥܤܪܝܢ ܘܐܪܒܥܐ ܩܫܝܫܝܢ ܘܐܪܒܥ ܚܝܘܢ ܘܤܓܕܘ ܠܐܠܗܢ ܕܝܬܒ ܥܠ ܟܘܪܤܝܐ ܘܐܡܪܝܢ ܐܡܝܢ ܗܠܠܘܝܐ
,"A voice came forth from the throne, saying, ""Give praise to our God, all you his servants, you who fear him, the small and the great!""",ܘܩܠܐ ܡܢ ܟܘܪܤܝܐ ܕܐܡܪ ܫܒܚܘ ܠܐܠܗܢ ܟܠܗܘܢ ܥܒܕܘܗܝ ܘܕܚܠܝ ܫܡܗ ܟܠܗܘܢ ܙܥܘܪܐ ܥܡ ܪܘܪܒܐ
,"I heard something like the voice of a great multitude, and like the voice of many waters, and like the voice of mighty thunders, saying, ""Hallelujah! For the Lord our God, the Almighty, reigns!",ܘܫܡܥܬ ܩܠܐ ܐܝܟ ܕܟܢܫܐ ܤܓܝܐܐ ܘܐܝܟ ܩܠܐ ܕܡܝܐ ܤܓܝܐܐ ܘܐܝܟ ܩܠܐ ܕܪܥܡܐ ܚܝܠܬܢܐ ܕܐܡܪܝܢ ܗܠܠܘܝܐ ܡܛܠ ܕܐܡܠܟ ܡܪܝܐ ܐܠܗܐ ܐܚܝܕ ܟܠ
,"Let us rejoice and be exceedingly glad, and let us give the glory to him. For the marriage of the Lamb has come, and his wife has made herself ready.""",ܚܕܝܢܢ ܘܡܬܦܨܚܝܢܢ ܢܬܠ ܠܗ ܬܫܒܘܚܬܐ ܡܛܠ ܕܐܬܬ ܡܫܬܘܬܗ ܕܐܡܪܐ ܘܐܢܬܬܗ ܛܝܒܬ ܢܦܫܗ
,"It was given to her that she would array herself in bright, pure, fine linen: for the fine linen is the righteous acts of the saints.",ܘܐܬܝܗܒ ܠܗ ܕܬܬܥܛܦ ܒܘܨܐ ܕܟܝܐ ܘܢܗܝܪܐ ܒܘܨܐ ܓܝܪ ܬܪܝܨܬܐ ܐܢܝܢ ܕܩܕܝܫܐ
,"He said to me, ""Write, 'Blessed are those who are invited to the marriage supper of the Lamb.'"" He said to me, ""These are true words of God.""",ܘܐܡܪܘ ܠܝ ܟܬܘܒ ܛܘܒܝܗܘܢ ܠܐܝܠܝܢ ܕܠܚܫܡܝܬܐ ܕܡܫܬܘܬܗ ܕܐܡܪܐ ܐܝܬܝܗܘܢ ܩܪܝܐ ܘܐܡܪ ܠܝ ܗܠܝܢ ܡܠܐ ܕܫܪܝܪܢ ܕܐܠܗܐ ܐܝܬܝܗܝܢ
,"I fell down before his feet to worship him. He said to me, ""Look! Don't do it! I am a fellow bondservant with you and with your brothers who hold the testimony of Jesus. Worship God, for the testimony of Jesus is the Spirit of Prophecy.""",ܘܢܦܠܬ ܩܕܡ ܪܓܠܘܗܝ ܘܤܓܕܬ ܠܗ ܘܐܡܪ ܠܝ ܠܐ ܟܢܬܟ ܐܝܬܝ ܘܕܐܚܝܟ ܗܠܝܢ ܕܐܝܬ ܠܗܘܢ ܤܗܕܘܬܐ ܕܝܫܘܥ ܠܐܠܗܐ ܤܓܘܕ ܝܬܝܪܐܝܬ ܤܗܕܘܬܐ ܓܝܪ ܕܝܫܘܥ ܐܝܬܝܗ ܪܘܚܐ ܕܢܒܝܘܬܐ
,"I saw the heaven opened, and behold, a white horse, and he who sat on it is called Faithful and True. In righteousness he judges and makes war.",ܘܚܙܝܬ ܫܡܝܐ ܕܦܬܝܚ ܘܗܐ ܤܘܤܝܐ ܚܘܪܐ ܘܕܝܬܒ ܥܠܘܗܝ ܡܬܩܪܐ ܡܗܝܡܢܐ ܘܫܪܝܪܐ ܘܒܟܐܢܘܬܐ ܕܐܢ ܘܡܩܪܒ
,"His eyes are a flame of fire, and on his head are many crowns. He has names written and a name written which no one knows but he himself.",ܥܝܢܘܗܝ ܕܝܢ ܐܝܟ ܫܠܗܒܝܬܐ ܕܢܘܪܐ ܘܥܠ ܪܝܫܗ ܬܐܓܐ ܤܓܝܐܐ ܘܐܝܬ ܠܗ ܫܡܐ ܟܬܝܒܐ ܐܝܢܐ ܕܠܐ ܝܕܥ ܐܠܐ ܐܢ ܗܘ
,"He is clothed in a garment sprinkled with blood. His name is called ""The Word of God.""",ܘܡܥܛܦ ܡܐܢܐ ܕܙܠܝܥ ܒܕܡܐ ܘܡܬܩܪܐ ܫܡܗ ܡܠܬܐ ܕܐܠܗܐ
,"The armies which are in heaven followed him on white horses, clothed in white, pure, fine linen.",ܘܚܝܠܘܬܐ ܕܫܡܝܐ ܢܩܝܦܝܢ ܗܘܘ ܠܗ ܥܠ ܪܟܫܐ ܚܘܪܐ ܘܠܒܝܫܝܢ ܒܘܨܐ ܚܘܪܐ ܘܕܟܝܐ
,"Out of his mouth proceeds a sharp, double-edged sword, that with it he should strike the nations. He will rule them with an iron rod. He treads the winepress of the fierceness of the wrath of God, the Almighty.",ܘܡܢ ܦܘܡܗܘܢ ܢܦܩܐ ܚܪܒܐ ܚܪܝܦܬܐ ܕܒܗ ܢܩܛܠܘܢ ܠܥܡܡܐ ܘܗܘ ܢܪܥܐ ܐܢܘܢ ܒܫܒܛܐ ܕܦܪܙܠܐ ܘܗܘ ܕܐܫ ܡܥܨܪܬܐ ܕܪܘܓܙܗ ܕܐܠܗܐ ܐܚܝܕ ܟܠ
,"He has on his garment and on his thigh a name written, ""KING OF KINGS, AND LORD OF LORDS.""",ܘܐܝܬ ܠܗ ܥܠ ܡܐܢܘܗܝ ܥܠ ܥܛܡܬܗ ܫܡܐ ܟܬܝܒܐ ܡܠܟܐ ܕܡܠܟܐ ܘܡܪܐ ܕܡܪܘܬܐ
,"I saw an angel standing in the sun. He cried with a loud voice, saying to all the birds that fly in the sky, ""Come! Be gathered together to the great supper of God,",ܘܚܙܝܬ ܐܚܪܢܐ ܡܠܐܟܐ ܕܩܐܡ ܒܫܡܫܐ ܘܩܥܐ ܒܩܠܐ ܪܡܐ ܘܐܡܪ ܠܦܪܚܬܐ ܕܦܪܚܐ ܡܨܥܬ ܫܡܝܐ ܐܬܟܢܫܘ ܠܚܫܡܝܬܐ ܪܒܬܐ ܕܐܠܗܐ
,"that you may eat the flesh of kings, the flesh of captains, the flesh of mighty men, and the flesh of horses and of those who sit on them, and the flesh of all men, both free and slave, and small and great.""",ܕܬܐܟܠܘܢ ܒܤܪܐ ܕܡܠܟܐ ܘܒܤܪܐ ܕܪܫܝ ܐܠܦܐ ܘܒܤܪܐ ܕܥܫܝܢܐ ܘܒܤܪܐ ܕܪܟܫܐ ܘܕܐܝܠܝܢ ܕܝܬܒܝܢ ܥܠܝܗܘܢ ܘܒܤܪܐ ܕܚܐܪܐ ܘܕܥܒܕܐ ܘܕܙܥܘܪܐ ܘܕܪܘܪܒܐ
,"I saw the beast, and the kings of the earth, and their armies, gathered together to make war against him who sat on the horse, and against his army.",ܘܚܙܝܬ ܠܚܝܘܬܐ ܘܠܚܝܠܘܬܗ ܘܡܠܟܐ ܕܐܪܥܐ ܘܠܦܠܚܝܗܘܢ ܕܡܟܢܫܝܢ ܠܡܥܒܕ ܩܪܒܐ ܥܡ ܗܘ ܕܝܬܒ ܥܠ ܤܘܤܝܐ ܘܥܡ ܦܠܚܘܗܝ
,"The beast was taken, and with him the false prophet who worked the signs in his sight, with which he deceived those who had received the mark of the beast and those who worshiped his image. These two were thrown alive into the lake of fire that burns with sulfur.",ܘܐܬܬܨܝܕܬ ܚܝܘܬܐ ܘܢܒܝܐ ܕܓܠܐ ܥܡܗ ܗܘ ܕܥܒܕ ܐܬܘܬܐ ܩܕܡܝܗ ܕܒܗܝܢ ܐܛܥܝ ܠܐܝܠܝܢ ܕܢܤܒܘ ܪܘܫܡܐ ܕܚܝܘܬܐ ܘܠܐܝܠܝܢ ܕܤܓܕܘ ܠܨܠܡܗ ܘܢܚܬܘ ܬܪܝܗܘܢ ܘܐܬܪܡܝܘ ܒܝܡܬܐ ܕܢܘܪܐ ܕܝܩܕܐ ܘܕܟܒܪܝܬܐ
,"The rest were killed with the sword of him who sat on the horse, the sword which came forth out of his mouth. All the birds were filled with their flesh.",ܘܕܫܪܟܐ ܕܝܢ ܐܬܩܛܠܘ ܒܚܪܒܗ ܕܗܘ ܕܝܬܒ ܥܠ ܤܘܤܝܐ ܒܐܝܕܐ ܕܢܦܩܐ ܡܢ ܦܘܡܗ ܘܟܠܗ ܛܝܪܐ ܤܒܥܬ ܡܢ ܒܤܪܗܘܢ
,"I saw an angel coming down out of heaven, having the key of the abyss and a great chain in his hand.",ܘܚܙܝܬ ܐܚܪܢܐ ܡܠܐܟܐ ܕܢܚܬ ܡܢ ܫܡܝܐ ܕܐܝܬ ܥܠܘܗܝ ܩܠܝܕܐ ܕܬܗܘܡܐ ܘܫܝܫܠܬܐ ܪܒܬܐ ܒܐܝܕܗ
,"He seized the dragon, the old serpent, which is the devil and Satan, who deceives the whole inhabited earth, and bound him for a thousand years,",ܘܠܒܟܗ ܠܬܢܝܢܐ ܚܘܝܐ ܩܕܡܝܐ ܗܘ ܕܐܝܬܘܗܝ ܐܟܠܩܪܨܐ ܘܤܛܢܐ ܘܐܤܪܗ ܐܠܦ ܫܢܝܢ
,"and cast him into the abyss, and shut it, and sealed it over him, that he should deceive the nations no more, until the thousand years were finished. After this, he must be freed for a short time.",ܘܐܪܡܝܗ ܒܬܗܘܡܐ ܘܐܚܕ ܘܛܒܥ ܠܥܠ ܡܢܗ ܕܠܐ ܬܘܒ ܢܛܥܐ ܠܟܠܗܘܢ ܥܡܡܐ ܒܬܪ ܗܠܝܢ ܝܗܝܒ ܠܡܫܪܝܗ ܩܠܝܠ ܙܒܢܐ 4 ܘܚܙܝܬ ܡܘܬܒܐ ܘܝܬܒܘ ܥܠܝܗܘܢ ܘܕܝܢܐ ܐܬܝܗܒ ܠܗܘܢ ܘܢܦܫܬܐ ܗܠܝܢ ܕܐܬܦܤܩ ܡܛܠ ܤܗܕܘܬܐ ܕܝܫܘܥ ܘܡܛܠ ܡܠܬܐ ܕܐܠܗܐ ܘܕܐܝܠܝܢ ܕܠܐ ܤܓܕܘ ܠܚܝܘܬܐ ܘܠܐ ܠܨܠܡܗ ܘܠܐ ܢܤܒܘ ܪܘܫܡܐ ܥܠ ܒܝܬ ܥܝܢܝܗܘܢ ܐܘ ܥܠ ܐܝܕܝܗܘܢ ܕܚܝܘ ܘܐܡܠܟܘ ܥܡ ܡܫܝܚܐ ܐܠܦ ܫܢܝܢ
,"Blessed and holy is he who has part in the first resurrection. Over these, the second death has no power, but they will be priests of God and of Christ, and will reign with him one thousand years.",ܛܘܒܢܐ ܗܘ ܘܩܕܝܫܐ ܡܢ ܕܐܝܬ ܠܗ ܡܢܬܐ ܒܩܝܡܬܐ ܩܕܡܝܬܐ ܘܥܠ ܗܠܝܢ ܠܝܬ ܫܘܠܛܢܐ ܠܡܘܬܐ ܬܢܝܢܐ ܐܠܐ ܢܗܘܘܢ ܟܗܢܐ ܕܐܠܗܐ ܘܕܡܫܝܚܐ ܘܢܡܠܟܘܢ ܥܡܗ ܐܠܦ ܫܢܝܢ
,"And after the thousand years, Satan will be released from his prison,",ܘܡܐ ܕܐܫܬܠܡ ܐܠܦ ܫܢܝܢ ܢܫܬܪܐ ܤܛܢܐ ܡܢ ܚܒܘܫܝܗ
,"and he will come out to deceive the nations which are in the four corners of the earth, Gog and Magog, to gather them together to the war; the number of whom is as the sand of the sea.",ܘܢܦܘܩ ܠܡܛܥܝܘ ܠܟܠܗܘܢ ܥܡܡܐ ܒܐܪܒܥ ܙܘܝܬܗ ܕܐܪܥܐ ܠܓܘܓ ܘܠܡܓܘܓ ܘܠܡܟܢܫܘ ܐܢܘܢ ܠܩܪܒܐ ܐܝܠܝܢ ܕܡܢܝܢܗܘܢ ܐܝܟ ܚܠܐ ܕܝܡܐ 9 ܘܤܠܩܘ ܥܠ ܦܬܝܗ ܕܐܪܥܐ ܘܚܕܪܘܗ ܠܡܕܝܢܬܐ ܕܡܫܪܝܬܐ ܕܩܕܝܫܐ ܘܠܡܕܝܢܬܐ ܚܒܝܒܬܐ ܘܢܚܬܬ ܢܘܪܐ ܡܢ ܫܡܝܐ ܡܢ ܐܠܗܐ ܘܐܟܠܬ ܐܢܘܢ
,"The devil who deceived them was thrown into the lake of fire and sulfur, where the beast and the false prophet are also. They will be tormented day and night forever and ever.",ܘܐܟܠܩܪܨܐ ܡܛܥܝܢܗܘܢ ܐܬܪܡܝ ܒܝܡܬܐ ܕܢܘܪܐ ܘܟܒܪܝܬܐ ܐܝܟܐ ܕܚܝܘܬܐ ܘܢܒܝܐ ܕܓܠܐ ܘܢܫܬܢܩܘܢ ܐܝܡܡܐ ܘܠܠܝܐ ܠܥܠܡ ܥܠܡܝܢ
,"I saw a great white throne, and him who sat on it, from whose face the earth and the heaven fled away. There was found no place for them.",ܘܚܙܝܬ ܟܘܪܤܝܐ ܪܒܐ ܚܘܪܐ ܘܠܕܝܬܒ ܠܥܠ ܡܢܗ ܗܘ ܕܡܢ ܩܕܡ ܐܦܘܗܝ ܥܪܩܬ ܐܪܥܐ ܘܫܡܝܐ ܘܐܬܪ ܠܐ ܐܫܬܟܚ ܠܗܘܢ
,"I saw the dead, the great and the small, standing before the throne, and they opened books. Another book was opened, which is the book of life. The dead were judged out of the things which were written in the books, according to their works.",ܘܚܙܝܬ ܠܡܝܬܐ ܪܘܪܒܐ ܘܙܥܘܪܐ ܕܩܡܘ ܩܕܡ ܟܘܪܤܝܐ ܘܤܦܪܐ ܐܬܦܬܚܘ ܘܐܚܪܢܐ ܤܦܪܐ ܐܬܦܬܚ ܕܐܝܬܘܗܝ ܕܕܝܢܐ ܘܐܬܕܝܢܘ ܡܝܬܐ ܡܢ ܐܝܠܝܢ ܕܟܬܝܒܢ ܒܤܦܪܐ ܐܝܟ ܥܒܕܝܗܘܢ
,"The sea gave up the dead who were in it. Death and Hades gave up the dead who were in them. They were judged, each one according to his works.",ܘܝܗܒ ܝܡܐ ܡܝܬܐ ܕܒܗ ܘܡܘܬܐ ܘܫܝܘܠ ܝܗܒܘ ܡܝܬܐ ܕܨܐܝܕܝܗܘܢ ܘܐܬܕܝܢ ܚܕ ܚܕ ܡܢܗܘܢ ܐܝܟ ܥܒܕܝܗܘܢ
,"Death and Hades were thrown into the lake of fire. This is the second death, the lake of fire.",ܘܡܘܬܐ ܘܫܝܘܠ ܐܬܪܡܝܘ ܒܝܡܬܐ ܕܢܘܪܐ ܗܢܐ ܕܐܝܬܘܗܝ ܡܘܬܐ ܬܢܝܢܐ
,"If anyone was not found written in the book of life, he was cast into the lake of fire.",ܘܐܝܢܐ ܕܠܐ ܐܫܬܟܚ ܕܪܫܝܡ ܒܟܬܒܐ ܕܚܝܐ ܐܬܪܡܝ ܒܝܡܬܐ ܕܢܘܪܐ
,"I saw a new heaven and a new earth: for the first heaven and the first earth have passed away, and the sea is no more.",ܘܚܙܝܬ ܫܡܝܐ ܚܕܬܬܐ ܘܐܪܥܐ ܚܕܬܐ ܫܡܝܐ ܓܝܪ ܩܕܡܝܬܐ ܘܐܪܥܐ ܩܕܡܝܬܐ ܐܙܠܘ ܘܝܡܐ ܠܝܬܘܗܝ ܬܘܒ
,"I saw the holy city, New Jerusalem, coming down out of heaven from God, prepared like a bride adorned for her husband.",ܘܠܡܕܝܢܬܐ ܩܕܝܫܬܐ ܐܘܪܫܠܡ ܚܕܬܐ ܚܙܝܬܗ ܕܢܚܬܐ ܡܢ ܫܡܝܐ ܡܢ ܨܝܕ ܐܠܗܐ ܕܡܛܝܒܐ ܐܝܟ ܟܠܬܐ ܡܨܒܬܬܐ ܠܒܥܠܗ
,"I heard a loud voice out of heaven saying, ""Behold, God's dwelling is with people, and he will dwell with them, and they will be his people, and God himself will be with them as their God.",ܘܫܡܥܬ ܩܠܐ ܪܒܐ ܡܢ ܫܡܝܐ ܕܐܡܪ ܗܐ ܡܫܪܝܐ ܕܐܠܗܐ ܥܡ ܒܢܝܢܫܐ ܘܫܪܐ ܥܡܗܘܢ ܘܗܢܘܢ ܥܡܐ ܕܝܠܗ ܢܗܘܘܢ ܘܗܘ ܐܠܗܐ ܥܡܗܘܢ ܘܢܗܘܐ ܠܗܘܢ ܐܠܗܐ
,"He will wipe away from them every tear from their eyes. Death will be no more; neither will there be mourning, nor crying, nor pain, any more. The first things have passed away.""",ܘܗܘ ܢܠܚܐ ܟܠ ܕܡܥܐ ܡܢ ܥܝܢܝܗܘܢ ܘܡܘܬܐ ܠܐ ܢܗܘܐ ܡܟܝܠ ܘܠܐ ܐܒܠܐ ܘܠܐ ܪܘܒܐ ܘܠܐ ܟܐܒܐ ܬܘܒ ܢܗܘܐ ܥܠ ܐܦܝܗ
,"He who sits on the throne said, ""Behold, I am making all things new."" He said, ""Write, for these words of God are faithful and true.""",ܘܐܙܠܬ ܘܐܡܪ ܠܝ ܕܝܬܒ ܥܠ ܟܘܪܤܝܐ ܗܐ ܚܕܬܐ ܥܒܕ ܐܢܐ ܟܠ ܘܐܡܪ ܠܝ ܟܬܘܒ ܗܠܝܢ ܡܠܐ ܡܗܝܡܢܬܐ ܘܫܪܝܪܬܐ ܐܝܬܝܗܝܢ
,"He said to me, ""It is done! I am the Alpha and the Omega, the Beginning and the End. I will give freely to him who is thirsty from the spring of the water of life.",ܘܐܡܪ ܠܝ ܗܘܝ ܐܢܐ ܐܠܦ ܘܐܢܐ ܬܘ ܪܝܫܝܬܐ ܘܫܘܠܡܐ ܠܕܨܗܐ ܐܢܐ ܐܬܠ ܡܢ ܥܝܢܐ ܕܡܝܐ ܚܝܐ ܡܓܢ
,"He who overcomes, I will give him these things. I will be his God, and he will be my son.",ܘܕܙܟܐ ܗܘ ܢܐܪܬ ܗܠܝܢ ܘܐܗܘܐ ܠܗ ܐܠܗܐ ܘܢܗܘܐ ܠܝ ܒܪܐ
,"But for the cowardly, unbelieving, sinners, abominable, murderers, sexually immoral, sorcerers, idolaters, and all liars, their part is in the lake that burns with fire and sulfur, which is the second death.""",ܠܩܢܘܛܬܢܐ ܕܝܢ ܘܠܐ ܡܗܝܡܢܐ ܘܥܘܠܐ ܘܡܤܝܒܐ ܘܩܛܘܠܐ ܘܚܪܫܐ ܘܙܢܝܐ ܘܦܠܚܝ ܦܬܟܪܐ ܘܟܠܗܘܢ ܕܓܠܐ ܡܢܬܗܘܢ ܒܝܡܬܐ ܝܩܕܬܐ ܕܢܘܪܐ ܘܟܒܪܝܬܐ ܐܝܕܐ ܕܐܝܬܝܗ ܡܘܬܐ ܬܢܝܢܐ
,"One of the seven angels who had the seven bowls, who were loaded with the seven last plagues came, and he spoke with me, saying, ""Come here. I will show you the wife, the Lamb's bride.""",ܘܐܬܐ ܚܕ ܡܢ ܫܒܥܐ ܡܠܐܟܝܢ ܐܝܠܝܢ ܕܐܝܬ ܥܠܝܗܘܢ ܫܒܥ ܙܒܘܪܝܢ ܕܡܠܝܢ ܫܒܥ ܡܚܘܬܐ ܐܚܪܝܬܐ ܘܡܠܠ ܥܡܝ ܠܡܐܡܪ ܬܐ ܐܚܘܝܟ ܠܟܠܬܐ ܐܢܬܬܗ ܕܐܡܪܐ
,"He carried me away in the Spirit to a great and high mountain, and showed me the holy city, Jerusalem, coming down out of heaven from God,",ܘܐܘܒܠܢܝ ܒܪܘܚ ܠܛܘܪܐ ܪܒܐ ܘܪܡܐ ܘܚܘܝܢܝ ܠܡܕܝܢܬܐ ܩܕܝܫܬܐ ܐܘܪܫܠܡ ܕܢܚܬܐ ܡܢ ܫܡܝܐ ܡܢ ܨܝܕ ܐܠܗܐ
,"having the glory of God. Her light was like a most precious stone, as if it were a jasper stone, clear as crystal;",ܘܐܝܬ ܠܗ ܬܫܒܘܚܬܐ ܕܐܠܗܐ ܘܢܘܗܪܗ ܐܝܟ ܕܡܘܬܐ ܕܟܐܦܐ ܝܩܝܪܬܐ ܐܝܟ ܝܫܦܗ ܐܝܟ ܕܘܡܝܐ ܕܩܪܘܤܛܠܘܤ
